id,H1,H2,H3,H4,D1,D2,D3,D4,D5,D6,D7,D8
1,58,8,12.89,8,200,170,266.35,276.12,11.2,260,218,6
12,58.77472825,7.90050667,13.09813219,7.750638995,199.5283341,169.9423575,266.7352927,275.6874117,11.10256161,259.963064,218.1870508,5.906240776
13,59.41990019,7.926985202,12.72392826,7.957660625,199.8208701,170.1188399,266.4136048,276.0928829,11.01934561,259.7379068,218.3038501,6.239821875
14,59.33573177,7.788020803,13.02461381,7.943934411,199.4419581,170.0621656,266.6363177,276.0060595,10.99780916,260.1723745,218.5218842,6.284315248
15,59.88864469,8.221476547,13.22338245,7.548717208,199.1630986,170.0608226,266.2374064,276.1932785,10.6692973,260.5502721,219.0047681,6.293903515
16,60.03729086,8.218392887,13.14288994,7.594233783,199.4940835,169.698997,266.6550625,276.2650321,11.03647983,260.3981761,218.6925392,6.145825334
17,60.97418656,8.553555023,13.19971181,8.012547298,199.1140749,169.9684322,266.2127004,276.0661381,11.01025489,260.5942238,218.8760605,6.552731069
18,60.22291282,8.763612389,13.21239281,7.740520112,199.096222,170.459731,266.1805266,275.6962438,11.24269713,260.3742915,219.1060727,6.584256958
19,60.24336228,9.244980209,13.03592554,7.628139557,199.3894354,170.644605,266.2099514,276.0350482,11.00440683,260.5591285,218.9478818,6.583644732
20,60.64062658,9.444736187,13.00019941,7.953483862,199.3442517,170.24588,266.284593,276.3364833,10.62548509,260.0728189,218.9864644,6.628607676
21,60.76742452,9.056611351,12.57557853,7.759113824,199.2140666,169.8246293,266.5957751,276.2262898,10.84612016,260.2597679,219.418085,6.546282171
